iter	Passed	Remaining
358	566	1010
359	567	1008
360	568	1007
361	570	1005
362	571	1003
363	573	1002
364	575	1000
365	576	999
366	578	997
367	579	995
368	581	993
369	582	992
370	584	990
371	585	989
372	587	987
373	589	986
374	590	984
375	591	982
376	593	980
377	594	978
378	598	981
379	600	980
380	602	978
381	604	977
382	605	976
383	607	974
384	608	972
385	610	971
386	613	971
387	614	969
388	616	967
389	617	966
390	619	964
391	620	962
392	622	960
393	623	958
394	624	956
395	626	955
396	627	953
397	629	952
398	631	950
399	632	949
400	634	947
401	635	945
402	637	943
403	638	942
404	640	940
405	642	939
406	643	937
407	645	936
408	647	935
409	648	933
410	649	931
411	651	929
412	653	928
413	654	926
414	656	924
415	657	922
416	658	921
417	660	919
418	661	917
419	663	915
420	664	913
421	666	912
422	668	911
423	669	909
424	671	907
425	672	906
426	674	904
427	675	902
428	677	901
429	678	899
430	680	897
431	681	896
432	683	894
433	684	892
434	686	891
435	687	889
436	689	887
437	690	886
438	692	884
439	694	883
440	695	881
441	696	879
442	698	878
443	699	876
444	701	874
445	702	872
446	704	871
447	705	869
448	706	867
449	708	865
450	709	864
451	711	862
452	712	860
453	714	859
454	715	857
455	717	855
456	718	854
457	720	852
458	721	850
459	723	849
460	724	847
461	726	845
462	727	844
463	729	842
464	730	840
465	731	838
466	733	836
467	734	834
468	736	833
469	737	832
470	739	830
471	740	828
472	742	827
473	743	825
474	745	823
475	746	821
476	747	819
477	749	818
478	750	816
479	751	814
480	753	812
481	754	811
482	756	810
483	758	808
484	760	807
485	761	805
486	762	803
487	764	802
488	765	800
489	767	799
490	769	797
491	771	796
492	773	795
493	775	794
494	776	792
495	778	790
496	779	789
497	781	787
498	783	786
499	784	784
500	786	783
501	787	781
502	789	779
503	790	777
504	791	776
505	793	774
506	794	772
507	796	771
508	797	769
509	799	767
510	800	766
511	802	764
512	803	762
513	805	761
514	806	759
515	808	758
516	810	757
517	811	755
518	813	753
519	814	752
520	816	750
521	817	748
522	819	747
523	820	745
524	822	743
525	824	742
526	825	740
527	827	739
528	828	737
529	830	736
530	831	734
531	832	732
532	834	731
533	835	729
534	837	727
535	838	726
536	840	724
537	841	722
538	843	721
539	844	719
540	846	718
541	847	716
542	849	714
543	850	713
544	852	711
545	854	710
546	855	708
547	857	707
548	858	705
549	860	703
550	861	702
551	863	700
552	865	699
553	866	697
554	868	696
555	870	694
556	871	693
557	872	691
558	874	690
559	876	688
560	877	686
561	879	685
562	880	683
563	882	681
564	883	680
565	885	678
566	886	677
567	888	675
568	890	674
569	891	672
570	893	671
571	894	669
572	896	667
573	897	666
574	899	664
575	900	662
576	902	661
577	903	659
578	905	658
579	906	656
580	908	655
581	910	653
582	911	651
583	913	650
584	914	648
585	915	647
586	917	645
587	918	643
588	919	641
589	921	640
590	923	639
591	924	637
592	926	635
593	927	634
594	929	632
595	930	630
596	932	629
597	933	627
598	934	625
599	936	624
600	938	622
601	939	621
602	940	619
603	942	617
604	944	616
605	945	614
606	947	613
607	949	611
608	950	610
609	951	608
610	953	606
611	954	605
612	956	603
613	957	602
614	959	600
615	960	598
616	962	597
617	963	595
618	965	594
619	966	592
620	968	591
621	969	589
622	971	587
623	972	586
624	974	584
625	976	583
626	977	581
627	979	580
628	981	578
629	982	577
630	984	575
631	985	573
632	987	572
633	988	570
634	989	568
635	991	567
636	993	565
637	994	564
638	995	562
639	997	560
640	998	559
641	999	557
642	1001	555
643	1003	554
644	1004	552
645	1006	551
646	1007	549
647	1009	548
648	1010	546
649	1011	544
650	1013	543
651	1015	541
652	1016	540
653	1018	538
654	1019	537
655	1020	535
656	1022	533
657	1023	532
658	1025	530
659	1026	528
660	1028	527
661	1029	525
662	1031	524
663	1032	522
664	1034	520
665	1036	519
666	1037	518
667	1039	516
668	1040	514
669	1042	513
670	1043	511
671	1045	510
672	1046	508
673	1048	507
674	1049	505
675	1051	503
676	1052	502
677	1054	500
678	1055	499
679	1057	497
680	1058	495
681	1060	494
682	1061	492
683	1063	491
684	1064	489
685	1066	488
686	1068	486
687	1070	485
688	1071	483
689	1072	481
690	1073	480
691	1075	478
692	1076	476
693	1078	475
694	1079	473
695	1080	472
696	1082	470
697	1083	468
698	1084	467
699	1086	465
700	1087	463
701	1089	462
702	1090	460
703	1091	458
704	1092	457
705	1093	455
706	1094	453
707	1095	451
708	1096	450
709	1098	448
710	1099	446
711	1100	445
712	1103	444
713	1104	442
714	1106	440
715	1107	439
716	1109	437
717	1110	436
718	1112	434
719	1113	433
720	1115	431
721	1116	429
722	1117	428
723	1119	426
724	1120	425
725	1122	423
726	1123	421
727	1125	420
728	1126	418
729	1128	417
730	1129	415
731	1131	414
732	1133	412
733	1135	411
734	1136	409
735	1138	408
736	1139	406
737	1141	405
738	1143	403
739	1144	402
740	1145	400
741	1147	398
742	1148	397
743	1150	395
744	1151	394
745	1153	392
746	1154	391
747	1156	389
748	1157	387
749	1159	386
750	1160	384
751	1161	383
752	1163	381
753	1165	380
754	1166	378
755	1168	377
756	1170	375
757	1171	374
758	1173	372
759	1175	371
760	1176	369
761	1178	368
762	1179	366
763	1181	364
764	1182	363
765	1184	361
766	1185	360
767	1187	358
768	1189	357
769	1190	355
770	1192	354
771	1194	352
772	1195	351
773	1197	349
774	1199	348
775	1200	346
776	1201	344
777	1203	343
778	1204	341
779	1206	340
780	1207	338
781	1208	337
782	1210	335
783	1211	333
784	1213	332
785	1214	330
786	1215	329
787	1217	327
788	1219	326
789	1221	324
790	1222	323
791	1224	321
792	1225	320
793	1227	318
794	1228	316
795	1230	315
796	1231	313
797	1232	312
798	1234	310
799	1236	309
800	1237	307
801	1239	305
802	1240	304
803	1242	302
804	1243	301
805	1245	299
806	1246	298
807	1247	296
808	1249	294
809	1250	293
810	1252	291
811	1254	290
812	1255	288
813	1257	287
814	1259	285
815	1260	284
816	1262	282
817	1264	281
818	1266	279
819	1267	278
820	1269	276
821	1271	275
822	1272	273
823	1274	272
824	1275	270
825	1276	268
826	1278	267
827	1279	265
828	1280	264
829	1282	262
830	1285	261
831	1286	259
832	1287	258
833	1289	256
834	1290	255
835	1292	253
836	1293	251
837	1295	250
838	1296	248
839	1298	247
840	1299	245
841	1301	244
842	1302	242
843	1304	241
844	1306	239
845	1307	238
846	1309	236
847	1310	234
848	1312	233
849	1314	231
850	1315	230
851	1317	228
852	1318	227
853	1320	225
854	1321	224
855	1323	222
856	1324	221
857	1326	219
858	1327	217
859	1329	216
860	1330	214
861	1332	213
862	1333	211
863	1335	210
864	1336	208
865	1337	207
866	1339	205
867	1340	203
868	1342	202
869	1343	200
870	1345	199
871	1346	197
872	1348	196
873	1349	194
874	1351	193
875	1352	191
876	1354	189
877	1355	188
878	1357	186
879	1358	185
880	1360	183
881	1361	182
882	1363	180
883	1364	179
884	1366	177
885	1367	175
886	1369	174
887	1370	172
888	1372	171
889	1373	169
890	1375	168
891	1376	166
892	1378	165
893	1379	163
894	1381	162
895	1382	160
896	1383	158
897	1385	157
898	1386	155
899	1388	154
900	1389	152
901	1391	151
902	1392	149
903	1394	148
904	1395	146
905	1397	144
906	1398	143
907	1400	141
908	1401	140
909	1402	138
910	1404	137
911	1405	135
912	1407	134
913	1408	132
914	1410	131
915	1411	129
916	1412	127
917	1414	126
918	1416	124
919	1417	123
920	1419	121
921	1420	120
922	1422	118
923	1424	117
924	1425	115
925	1427	114
926	1428	112
927	1429	110
928	1431	109
929	1432	107
930	1434	106
931	1435	104
932	1437	103
933	1438	101
934	1441	100
935	1442	98
936	1444	97
937	1445	95
938	1447	94
939	1448	92
940	1450	90
941	1451	89
942	1452	87
943	1454	86
944	1455	84
945	1457	83
946	1458	81
947	1460	80
948	1461	78
949	1463	77
950	1465	75
951	1466	73
952	1468	72
953	1470	70
954	1471	69
955	1473	67
956	1475	66
957	1476	64
958	1478	63
959	1479	61
960	1481	60
961	1482	58
962	1483	57
963	1485	55
964	1486	53
965	1488	52
966	1489	50
967	1491	49
968	1492	47
969	1493	46
970	1495	44
971	1496	43
972	1498	41
973	1499	40
974	1501	38
975	1502	36
976	1504	35
977	1505	33
978	1507	32
979	1508	30
980	1510	29
981	1511	27
982	1513	26
983	1514	24
984	1516	23
985	1517	21
986	1518	20
987	1520	18
988	1521	16
989	1523	15
990	1524	13
991	1525	12
992	1527	10
993	1528	9
994	1530	7
995	1531	6
996	1533	4
997	1534	3
998	1535	1
999	1537	0
