iter	RMSE
278	0.530416069
279	0.5274531351
280	0.5243421612
281	0.5209044039
282	0.5179079919
283	0.5144607295
284	0.511621614
285	0.5086169549
286	0.5055645166
287	0.5027282868
288	0.4997897357
289	0.4966277494
290	0.4936746997
291	0.4906440409
292	0.4876047082
293	0.4844480246
294	0.4813224558
295	0.478497686
296	0.4755845303
297	0.472951208
298	0.4700744786
299	0.467541702
300	0.4648192942
301	0.4622168908
302	0.4594138481
303	0.4568484
304	0.4542691387
305	0.4513384653
306	0.4486667885
307	0.445776075
308	0.4432918964
309	0.4409142078
310	0.438475293
311	0.4356529564
312	0.4332275496
313	0.4308052217
314	0.4282667661
315	0.4257744171
316	0.4232976745
317	0.4207126336
318	0.4183730488
319	0.4156861848
320	0.4132043608
321	0.4106446167
322	0.4080112854
323	0.4056127738
324	0.403361298
325	0.4008615631
326	0.398535939
327	0.3961110676
328	0.3936649471
329	0.3911058088
330	0.3886029278
331	0.3864412946
332	0.3840951329
333	0.3818477085
334	0.3797304239
335	0.3773074283
336	0.3749800163
337	0.3726731387
338	0.3704609857
339	0.3681797926
340	0.3660266921
341	0.3638877185
342	0.3616490887
343	0.3594632996
344	0.3573355104
345	0.3551446066
346	0.3530733025
347	0.3510160673
348	0.348866141
349	0.3468059199
350	0.344787776
351	0.3426789061
352	0.3406870712
353	0.3387109146
354	0.3367164679
355	0.3346557557
356	0.3327143066
357	0.3308905019
358	0.3288679458
359	0.3268622936
360	0.3249706576
361	0.3230183628
362	0.3210483912
363	0.3191900301
364	0.3173443304
365	0.3155099164
366	0.3135876408
367	0.311680861
368	0.3097870088
369	0.3080912556
370	0.3062880761
371	0.3046128302
372	0.3029302642
373	0.3011847058
374	0.2994509615
375	0.2976344423
376	0.2959924533
377	0.2942877381
378	0.2925939753
379	0.2909117615
380	0.2892396601
381	0.2875789639
382	0.2859295946
383	0.2843694203
384	0.2828187405
385	0.2811980174
386	0.279586247
387	0.2778907426
388	0.2763012056
389	0.2747217776
390	0.2731504265
391	0.271567793
392	0.2700164305
393	0.2684767551
394	0.266946088
395	0.2654240125
396	0.2639115946
397	0.2624097516
398	0.2609173777
399	0.2594344064
400	0.2579605238
401	0.2564959766
402	0.2550408232
403	0.2535939403
404	0.252157014
405	0.2507282817
406	0.2493093305
407	0.2478984981
408	0.2464972746
409	0.2451048215
410	0.2437210785
411	0.2423459861
412	0.2409794852
413	0.2396215172
414	0.2382713186
415	0.2369309474
416	0.2355989473
417	0.2342745315
418	0.2329583633
419	0.2316497388
420	0.2303492961
421	0.2290575465
422	0.2277738252
423	0.2264980784
424	0.2252302531
425	0.2239702964
426	0.222718156
427	0.2214744706
428	0.2202378038
429	0.2190245001
430	0.2178021956
431	0.2165874608
432	0.2153802459
433	0.2141942342
434	0.2130010196
435	0.2118151859
436	0.2106493894
437	0.2095057851
438	0.2083538152
439	0.207194429
440	0.2060422094
441	0.2048971095
442	0.203759083
443	0.202628084
444	0.2015291303
445	0.2004112161
446	0.1993124604
447	0.1982074787
448	0.197109316
449	0.1960179283
450	0.1949332719
451	0.1938553034
452	0.1927934307
453	0.1917279133
454	0.1906785162
455	0.1896252789
456	0.188588526
457	0.1875669154
458	0.1865514805
459	0.1855216008
460	0.18450868
461	0.1835105656
462	0.1825099575
463	0.1815028675
464	0.1805019887
465	0.1795188037
466	0.1785485511
467	0.1775645122
468	0.1765985526
469	0.1756258265
470	0.1746714946
471	0.1737282854
472	0.1727719053
473	0.1718342879
474	0.17090712
475	0.1699667987
476	0.1690455996
477	0.1681160738
478	0.1672059588
479	0.1662871006
480	0.1653906374
481	0.1644964554
482	0.1635930003
483	0.1627117513
484	0.1618332205
485	0.1609448986
486	0.1600620612
487	0.1591987949
488	0.1583260766
489	0.1574731922
490	0.1566257636
491	0.1557676456
492	0.154923073
493	0.1540901424
494	0.1532557578
495	0.1524162641
496	0.1515975781
497	0.1507775823
498	0.149952014
499	0.149141565
500	0.1483253504
501	0.1475243384
502	0.1467331126
503	0.1459417675
504	0.1451555182
505	0.1443610998
506	0.1435716027
507	0.142798585
508	0.1420338637
509	0.14127018
510	0.1404977529
511	0.1397429677
512	0.1389792819
513	0.1382332929
514	0.1374941551
515	0.1367430976
516	0.136009979
517	0.1352834421
518	0.1345591815
519	0.1338243252
520	0.1331085084
521	0.1323819615
522	0.1316744914
523	0.1309722156
524	0.1302732992
525	0.1295623999
526	0.1288716362
527	0.1281852259
528	0.1274860503
529	0.1268072084
530	0.1260401927
531	0.1252787085
532	0.1245227131
533	0.1237721642
534	0.1230270201
535	0.1222872391
536	0.1215527803
537	0.1208236028
538	0.1200996662
539	0.1193809306
540	0.1186673563
541	0.1179589039
542	0.1172555346
543	0.1165572097
544	0.115863891
545	0.1151755406
546	0.1144921209
547	0.1138135946
548	0.1131399249
549	0.1124710752
550	0.1118070093
551	0.1111476911
552	0.1104930852
553	0.1098431563
554	0.1091978693
555	0.1085571896
556	0.1079210828
557	0.107289515
558	0.1066624523
559	0.1060398612
560	0.1054217088
561	0.104807962
562	0.1041985883
563	0.1035935554
564	0.1029928313
565	0.1023963843
566	0.101804183
567	0.1012161961
568	0.1006323929
569	0.1000527426
570	0.09947721486
571	0.09890577968
572	0.09833840718
573	0.0977750678
574	0.09721573223
575	0.0966603714
576	0.09610895652
577	0.09556145903
578	0.09501785063
579	0.09447810324
580	0.09394218905
581	0.09341008047
582	0.09290581196
583	0.09240472822
584	0.09188272374
585	0.09134307982
586	0.0908072619
587	0.09027524104
588	0.08978935283
589	0.08926402685
590	0.08874242075
591	0.08826539112
592	0.08775034569
593	0.08723894474
594	0.08677060101
595	0.0862656296
596	0.08576422904
597	0.08530440255
598	0.08480930342
599	0.08431770319
600	0.0838295758
601	0.08338080513
602	0.08289881029
603	0.0824202186
604	0.08197958618
605	0.08150700572
606	0.08103776034
607	0.08060511014
608	0.0801417574
609	0.07968167321
610	0.07922483348
611	0.07880254529
612	0.07835144187
613	0.07790351844
614	0.07748886163
615	0.07704656212
616	0.0766073796
617	0.07620020966
618	0.07576654116
619	0.07533592809
620	0.07493610372
621	0.07451089722
622	0.07408868595
623	0.07369606899
624	0.07327915923
625	0.07286518584
626	0.07245412757
627	0.0720708666
628	0.07166497125
629	0.07126193398
630	0.0708855694
631	0.07048759534
632	0.07009242356
633	0.06972282712
634	0.06933262101
635	0.06894516264
636	0.06858220886
637	0.06819962074
638	0.06781972701
639	0.06746329313
640	0.06708817629
641	0.06671570166
642	0.06634585047
643	0.06599787857
644	0.06563268107
645	0.06527005641
646	0.06492832777
647	0.06457026809
648	0.06421473174
649	0.06387913216
650	0.06352807397
651	0.06317949068
652	0.06284990837
653	0.06250571826
654	0.06216395567
655	0.0618310446
656	0.06150022638
657	0.06116428869
658	0.06083724363
659	0.06050536
660	0.06018204607
661	0.05985416927
662	0.05953454494
663	0.05921693323
664	0.05889465237
665	0.05858066751
666	0.05826228155
667	0.05795188323
668	0.05763734686
669	0.05733049526
670	0.05702557942
671	0.05671641933
672	0.05641499004
673	0.05610957216
674	0.05581159077
675	0.05550987164
676	0.05521529996
677	0.05492259039
678	0.05462603677
679	0.05433667922
680	0.05404372132
681	0.05375767871
682	0.05346827485
683	0.05318551054
684	0.05290453778
685	0.05262009716
686	0.05234234737
687	0.05206136195
688	0.05178679957
689	0.05150922932
690	0.05123781921
691	0.05096362461
692	0.05069533203
693	0.05042447401
694	0.05015926464
695	0.04989490129
696	0.04962867965
697	0.04936808549
698	0.04910022237
699	0.04884169894
700	0.04857704989
701	0.04832215247
702	0.0480606577
703	0.04780780668
704	0.04754945006
705	0.04730012108
706	0.04704484402
707	0.04679753792
708	0.04654895082
709	0.04630514732
710	0.0460621101
711	0.04581379336
712	0.04557415482
713	0.04532879691
714	0.04509108685
715	0.0448486736
716	0.0446142634
717	0.04437473897
718	0.04414223657
719	0.0439055874
720	0.04367628808
721	0.04344245942
722	0.04321504793
723	0.04298661708
724	0.04276179624
725	0.04253326138
726	0.042311447
727	0.04208563515
728	0.04186573572
729	0.04164263477
730	0.04142564994
731	0.04120520773
732	0.04099064589
733	0.04077683746
734	0.04056006093
735	0.04034916012
736	0.0401349674
737	0.03992583382
738	0.0397158514
739	0.03950910392
740	0.03929975097
741	0.03909572535
742	0.03888886709
743	0.03868663912
744	0.03848226557
745	0.03828267395
746	0.03808073634
747	0.03788292692
748	0.03768341572
749	0.03748815896
750	0.03729102637
751	0.03709794794
752	0.03690388309
753	0.03671251496
754	0.03651980953
755	0.03632735591
756	0.03613708695
757	0.03595015305
758	0.03576215116
759	0.03557730196
760	0.03539020134
761	0.03520543979
762	0.03502360609
763	0.03484104546
764	0.03466081842
765	0.03448045139
766	0.03429962218
767	0.03412153354
768	0.0339453966
769	0.03376942958
770	0.03359525458
771	0.03342138414
772	0.03324651806
773	0.03307484315
774	0.03290430512
775	0.03273467544
776	0.03256573051
777	0.03239813985
778	0.03222912772
779	0.03208088013
780	0.03191635322
781	0.0317502551
782	0.0315457773
783	0.03134292909
784	0.03114839874
785	0.03100550965
786	0.03080639371
787	0.03061547191
788	0.03045899958
789	0.03026370449
790	0.03012521904
791	0.02993880978
792	0.02974710212
793	0.02961121395
794	0.02942825933
795	0.02929412702
796	0.02910673098
797	0.02892716545
798	0.02879554875
799	0.0285665289
800	0.02842147365
801	0.02823994083
802	0.02805985709
803	0.02791766117
804	0.02774579873
805	0.02762000114
806	0.02744409695
807	0.02727541365
808	0.02715197076
809	0.02693649514
810	0.02680058874
811	0.02663017369
812	0.0264960975
813	0.02632787993
814	0.02616642186
815	0.02604842828
816	0.02584213537
817	0.02571243283
818	0.02554945399
819	0.02539309648
820	0.0252789144
821	0.02511891138
822	0.02499326986
823	0.02479575866
824	0.02467559729
825	0.02451033991
826	0.02438810391
827	0.02423408774
828	0.02411348811
829	0.02395218034
830	0.02383314773
831	0.02368782506
832	0.02358214721
833	0.02343351829
834	0.02329087706
835	0.02317558117
836	0.02299304934
837	0.02288021302
838	0.02273635163
839	0.02259828358
840	0.02248761173
841	0.02233779117
842	0.02222859564
843	0.02209390268
844	0.02195545737
845	0.02184835602
846	0.02171621205
847	0.02158508126
848	0.02147850426
849	0.02133589304
850	0.02123205031
851	0.0210994559
852	0.02097237071
853	0.02087051793
854	0.02074503172
855	0.02058287626
856	0.02048312248
857	0.02035560875
858	0.02023350845
859	0.0201356655
860	0.02001509877
861	0.01988309325
862	0.01978714675
863	0.01966892669
864	0.01957207571
865	0.01945068816
866	0.01935705911
867	0.0192416764
868	0.01911519037
869	0.01902337522
870	0.01891023586
871	0.01881736002
872	0.01870108173
873	0.01859011262
874	0.01850105933
875	0.01835763322
876	0.018269879
877	0.01815034837
878	0.0180429645
879	0.017956909
880	0.01785086878
881	0.01776589476
882	0.01765668962
883	0.01755264131
884	0.01744497744
885	0.01736218325
886	0.0172600874
887	0.0171478372
888	0.01706725279
889	0.01696715089
890	0.01688761239
891	0.01678430625
892	0.01670573785
893	0.01657719034
894	0.01649970825
895	0.01639892808
896	0.01629252661
897	0.01621640835
898	0.01611759479
899	0.01604240428
900	0.01591936554
901	0.01584521497
902	0.01574881453
903	0.01565706505
904	0.01558428171
905	0.01548341887
906	0.01541152231
907	0.01531796848
908	0.01521905521
909	0.01514842275
910	0.01507826828
911	0.01498692242
912	0.01490005596
913	0.01483119635
914	0.01471801378
915	0.0146501096
916	0.01456152907
917	0.01447366717
918	0.01438054587
919	0.01431419837
920	0.01424830157
921	0.01416251103
922	0.01408089961
923	0.01401621961
924	0.01390972925
925	0.01384594822
926	0.01376275094
927	0.01367447149
928	0.01361181147
929	0.01354957901
930	0.01346834152
931	0.01338776514
932	0.01331109429
933	0.01324797449
934	0.0131853163
935	0.01312311664
936	0.01306137247
937	0.01300008074
938	0.01293923847
939	0.01287884268
940	0.0128188904
941	0.01275937871
942	0.01270030469
943	0.01263884591
944	0.01258054809
945	0.01252267978
946	0.01246523814
947	0.01240526485
948	0.01234857912
949	0.01229231213
950	0.01223646115
951	0.01217198585
952	0.01211376079
953	0.0120500535
954	0.01199555527
955	0.01194146094
956	0.01188776786
957	0.01182485763
958	0.01176238041
959	0.01170033319
960	0.01163871298
961	0.01157751682
962	0.01151674176
963	0.0114563849
964	0.01139644337
965	0.0113369143
966	0.01127779487
967	0.01121908227
968	0.01116077373
969	0.01110286649
970	0.01104535783
971	0.01098824503
972	0.01093152543
973	0.01087519636
974	0.0108212448
975	0.01076773785
976	0.01071467181
977	0.01066204298
978	0.01060984774
979	0.01055808247
980	0.01050674361
981	0.01045582765
982	0.0104053311
983	0.0103552505
984	0.01028660558
985	0.01021855351
986	0.01015108934
987	0.01008420816
988	0.01001790513
989	0.009965960631
990	0.009900506762
991	0.009849450204
992	0.009784844866
993	0.00973412043
994	0.009670342347
995	0.009620220879
996	0.009557259347
997	0.009507733322
998	0.009445577779
999	0.009396928677
