,tokenId,marketplace,block,token,price
187,3883,blur,17425735,,46.86
188,4295,blur,17425734,,46.86
189,2508,blur,17425734,,46.86
190,7380,blur,17425732,,46.86
191,560,blur,17425731,,46.86
192,6408,blur,17425731,,46.86
193,9163,blur,17425728,,46.86
194,6930,blur,17425728,,46.86
195,669,blur,17425728,,46.86
196,4719,blur,17425727,,46.86
197,753,blur,17425727,,46.86
198,9816,blur,17425727,,46.86
199,2155,blur,17425536,,46.86
200,5101,blur,17425465,,46.86
201,2155,seaport,17425161,,1e-18
202,8710,blur,17425087,,46.85
203,9816,blur,17425004,,46.85
204,5101,blur,17425001,,46.85
205,3013,blur,17424999,,46.85
206,2844,blur,17424999,,46.85
207,1392,blur,17424999,,46.85
208,5497,blur,17424995,,46.86
209,9548,blur,17424784,,46.6058
210,3084,blur,17424762,,46.6058
211,4205,blur,17424756,,46.86
212,7116,blur,17424755,,46.86
213,9816,blur,17424655,,46.88
214,7380,blur,17424654,,46.9
215,7167,blur,17424653,,46.9
216,669,blur,17424653,,46.9
217,6170,blur,17424652,,46.9
218,5101,blur,17424652,,46.91
219,3013,blur,17424652,,46.91
220,2844,blur,17424652,,46.91
221,1392,blur,17424651,,46.91
222,560,blur,17424576,,46.91
223,3391,blur,17424575,,46.91
224,3145,blur,17424574,,46.91
225,6117,blur,17424573,,46.91
226,5497,blur,17424572,,46.91
227,5673,blur,17424436,,46.88
228,3599,blur,17424426,,46.89
229,2508,blur,17424422,,46.82
230,8803,blur,17424419,,46.91
231,2578,blur,17424419,,46.91
232,5282,blur,17424418,,46.91
233,3084,blur,17424417,,46.82
234,5775,blur,17424414,,46.9
235,9886,blur,17424413,,46.9
236,8152,blur,17424408,,46.92
237,759,blur,17424407,,46.92
238,6408,blur,17424407,,46.92
239,7116,blur,17424407,,46.92
240,4205,blur,17424407,,46.92
241,428,blur,17424406,,46.92
242,6891,blur,17424404,,46.6854
243,5497,blur,17424197,,46.57595
244,753,blur,17424155,,46.81
245,6930,blur,17424154,,46.81
246,4295,blur,17424152,,46.81
247,9163,blur,17424152,,46.81
248,6117,blur,17424151,,46.81
249,3391,blur,17424149,,46.81
250,3512,blur,17424006,ETH,49.2525
251,9886,blur,17423880,,46.93
252,5497,blur,17423842,,46.9
253,2508,blur,17423840,,46.93
254,5775,blur,17423840,,46.93
255,4478,blur,17423838,,46.94
256,5409,blur,17423838,,46.94
257,3391,blur,17423838,,46.95
258,6117,blur,17423837,,46.95
259,9163,blur,17423837,,46.95
260,753,blur,17423837,,46.95
261,8984,blur,17423836,,46.95
262,7083,blur,17423835,,46.95
263,9314,blur,17423835,,46.95
264,759,blur,17423834,,46.95
265,3084,blur,17423834,,46.95
266,4295,blur,17423833,,46.95
267,6930,blur,17423833,,46.95
268,322,blur,17423833,,46.95
