,tokenId,marketplace,block,token,price,rarity
2344,5304,blur,17100271,ETH,49.75,116547561.57153782
2346,923,blur,17100256,ETH,49.2525,120494668.93865712
2347,7468,blur,17100256,ETH,49.2525,1480850599.2893178
2348,7465,blur,17100256,ETH,48.4900315,158294899.09665427
2349,6920,blur,17100256,ETH,47.2625,1472647804.5563855
2350,6309,blur,17100256,ETH,48.6555,1583154806.025581
2351,5693,blur,17100256,ETH,49.2525,13224718890.395998
2352,5005,blur,17100256,ETH,47.43165,1977762462.6842363
2353,3397,blur,17100256,ETH,49.2525,12050421222.816
2354,326,blur,17100256,ETH,47.76,235984352.03481597
2356,6247,blur,17099889,ETH,47.75005,8137232952.7632
2357,7813,seaport,17099887,ETH,52.68525,126849632.12492679
2361,2782,blur,17099152,,46.765,23764723385.356796
2363,956,blur,17098555,ETH,48.4999815,101904433.0838688
2383,9264,blur,17097223,ETH,46.2675,116773277.642016
2387,5781,seaport,17096968,ETH,48.75,137525045.89824
2389,8809,seaport,17096954,ETH,52.64025,8086548101.587175
2390,7404,blur,17096924,ETH,44.2775,135556911.65918997
2391,4773,x2y2,17096893,ETH,48.0,5435499901.44
2394,7575,blur,17096527,ETH,46.000044,597002176.4999291
2395,2418,blur,17096517,ETH,46.11825,28455783.803166717
2396,9448,seaport,17096414,ETH,52.25,239275914.19199997
2404,1020,seaport,17096114,ETH,46.0287,31132660764.096
2406,3454,seaport,17095854,WETH,48.9845,3234228.637151724
2413,9980,seaport,17095652,WETH,53.0,1409969647.404
2414,2342,blur,17095648,,45.4317,162695654.16377655
2417,5733,seaport,17095581,WETH,69.0,273738753.68840003
2418,9611,blur,17095522,ETH,46.000044,520835159.55744
2420,2413,blur,17095459,ETH,46.000044,140541477.24429598
