,tokenId,marketplace,block,token,price
185,2970,blur,17444176,,45.94
186,1457,blur,17444176,,45.95
187,7452,blur,17444175,,45.95
188,7292,blur,17444001,,45.68
189,4164,blur,17443971,,46.16
190,9163,blur,17443971,,46.19
191,9056,blur,17443971,,46.19
192,8803,blur,17443971,,46.19
193,8710,blur,17443971,,46.19
194,8243,blur,17443970,,46.19
195,759,blur,17443970,,46.2
196,753,blur,17443970,,46.2
197,7387,blur,17443970,,46.2
198,7167,blur,17443969,,46.2
199,7083,blur,17443969,,46.2
200,6930,blur,17443969,,46.2
201,669,blur,17443968,,46.2
202,6408,blur,17443968,,46.2
203,552,blur,17443968,,46.2
204,5497,blur,17443968,,46.2
205,4497,blur,17443967,,46.2
206,3883,blur,17443967,,46.2
207,3599,blur,17443967,,46.2
208,3145,blur,17443966,,46.2
209,3084,blur,17443966,,46.2
210,2844,blur,17443966,,46.2
211,7665,blur,17443966,,46.2
212,1900,blur,17443965,,46.2
213,2578,blur,17443858,,46.19
214,7452,blur,17443852,,46.2
215,1457,blur,17443850,,46.2
216,6170,blur,17443850,,46.2
217,322,blur,17443848,,46.2
218,2970,blur,17443822,,46.19
219,4284,blur,17443821,,46.19
220,7116,blur,17443810,,46.2
221,8882,blur,17443736,,45.93915
222,7387,blur,17443469,ETH,45.968005
223,2970,blur,17443451,,46.18
224,4284,blur,17443450,,46.18
225,6117,blur,17443442,,46.18
226,6930,blur,17443442,,46.19
227,7292,blur,17443295,,46.18
228,322,blur,17443291,,46.18
229,2578,blur,17443041,,46.15
230,7292,blur,17442984,,45.91925
231,7116,blur,17442984,,45.91925
232,6117,blur,17442984,,45.91925
233,6076,blur,17442984,,45.91925
234,322,blur,17442984,,45.91925
235,1457,blur,17442984,,45.91925
236,9066,blur,17442897,,46.15
237,759,blur,17442897,,46.15
238,8710,blur,17442588,,46.2
239,669,blur,17442587,,46.2
240,1900,blur,17442585,,46.18
241,759,blur,17442580,,46.21
242,3883,blur,17442579,,46.21
243,2578,blur,17442576,,46.21
244,9066,blur,17442575,,46.21
245,4497,blur,17442574,,46.21
246,3145,blur,17442573,,46.21
247,6930,blur,17442571,,46.21
248,753,blur,17442567,,46.21
249,7452,blur,17442566,,46.21
250,6170,blur,17442566,,46.21
251,2970,blur,17442490,,46.21
252,2578,blur,17441999,,46.2
253,4284,blur,17441893,,46.18
254,8710,blur,17441771,,46.2
255,8803,blur,17441759,,46.21
256,9163,blur,17441758,,46.21
257,759,blur,17441757,,46.21
258,7387,blur,17441591,,46.18
259,2578,blur,17441487,,45.91925
260,3145,blur,17441465,,46.22
261,9886,blur,17441463,,46.22
262,6930,blur,17441462,,46.22
263,2970,blur,17441462,,46.22
264,7452,blur,17441462,,46.22
265,7292,blur,17441461,,46.22
266,322,blur,17441461,,46.22
267,6076,blur,17441461,,46.22
268,7116,blur,17441460,,46.22
269,6117,blur,17441460,,46.22
270,1457,blur,17441460,,46.22
271,7961,blur,17441460,,46.22
272,3402,blur,17441459,,46.22
273,7083,blur,17441459,,46.22
274,669,blur,17441459,,46.22
275,7167,blur,17441365,,46.22
276,759,blur,17441361,,46.22
277,8803,blur,17441307,,46.24
278,8710,blur,17441306,,46.24
279,4497,blur,17441305,,46.24
280,6790,blur,17441302,,45.07425
281,552,blur,17440788,,46.19
282,8803,blur,17440749,,46.18
283,4497,blur,17440747,,46.18
284,8710,blur,17440747,,46.18
285,9066,blur,17440746,,46.21
286,759,blur,17440745,,46.21
287,6408,blur,17440744,,46.22
288,5497,blur,17440744,,46.22
289,3599,blur,17440742,,46.22
290,2836,seaport,17439627,ETH,47.481
291,9163,blur,17439253,ETH,45.77
292,4402,x2y2,17438666,ETH,45.75
293,3599,blur,17438422,,45.92
294,4164,blur,17438323,ETH,45.6998525
295,9056,blur,17438065,,45.6307
296,269,seaport,17437981,WETH,43.9725
297,269,seaport,17437981,WETH,45.1
298,8243,blur,17437626,,45.84
299,3599,blur,17437411,,45.84
300,7762,seaport,17436866,ETH,1.4925
301,7833,seaport,17436816,WETH,44.314725
302,7833,seaport,17436816,WETH,45.451
303,4295,blur,17436568,,45.84
304,3599,blur,17436306,,45.84
305,4295,blur,17436263,,45.84
306,4295,blur,17435693,,45.83
307,3084,blur,17435692,,45.83
308,9066,blur,17435692,,45.83
309,3402,blur,17434759,,45.75
310,9886,blur,17434758,,45.75
311,7452,blur,17434757,,45.75
312,2844,blur,17434754,,45.52125
313,2508,blur,17434502,,45.66
314,9163,blur,17434501,,45.65
315,2970,blur,17434497,,45.75
316,3145,blur,17434497,,45.76
317,4295,blur,17434497,,45.76
318,3084,blur,17434496,,45.76
319,5497,blur,17434496,,45.76
320,1457,blur,17434389,,45.42175
321,8284,seaport,17434363,WETH,45.0030239545424
322,8284,seaport,17434363,WETH,45.4576
323,8710,blur,17433548,ETH,45.372
324,8803,blur,17433546,ETH,45.372
325,2578,blur,17433388,,45.41
326,3599,blur,17432841,,45.42
327,2578,blur,17432830,,45.42
328,9066,blur,17432826,,45.47
329,8936,blur,17432722,,45.45
330,5282,blur,17432574,,45.36
331,3599,blur,17432175,,45.33
332,3883,blur,17432166,,45.35
333,8984,blur,17432163,,45.35
334,7784,blur,17431655,,45.29
335,5282,blur,17431652,,45.29
336,6117,blur,17431644,,45.3
337,6891,blur,17431643,,45.3
338,4719,blur,17430824,,45.21
339,2508,blur,17430814,,45.3
340,9066,blur,17430807,,45.3
341,7292,blur,17430806,,45.3
342,2578,blur,17430805,,45.3
343,3599,blur,17430805,,45.3
344,322,blur,17430793,,45.3
345,3883,blur,17430788,,45.3
346,6756,seaport,17430422,ETH,3.383
347,3611,seaport,17430208,ETH,2.189
348,8243,blur,17430098,,45.22
349,7784,blur,17430098,,45.22
350,9581,blur,17430095,,45.22
351,9066,blur,17430095,,45.22
352,8803,blur,17430008,,45.81
353,8710,blur,17430007,,45.81
354,7292,blur,17430007,,45.82
355,3599,blur,17430006,,45.85
356,669,blur,17430006,,45.85
357,6930,blur,17430005,,45.85
358,2578,blur,17430003,,45.85
359,5282,blur,17430001,,45.85
360,2844,blur,17429487,,45.99
361,2508,blur,17429487,,45.99
362,2155,blur,17429481,,46.15
363,1729,blur,17429481,,46.15
364,1681,blur,17429470,,46.15
365,9816,blur,17429469,,46.17
366,8803,blur,17429464,,46.17
367,8710,blur,17429464,,46.17
368,8243,blur,17429463,,46.17
369,7784,blur,17429463,,46.17
370,7116,blur,17429463,,46.17
371,5101,blur,17429462,,46.17
372,7083,blur,17429462,,46.17
373,6930,blur,17429462,,46.17
374,669,blur,17429462,,46.17
375,3599,blur,17429462,,46.17
376,3402,blur,17429461,,46.17
377,4719,blur,17429455,,46.17
378,7167,blur,17429455,,46.18
379,4284,blur,17429314,,46.17
380,428,blur,17429300,,46.17
381,1032,blur,17429285,,46.26
382,3391,blur,17429281,,46.26
383,2578,blur,17429277,,46.33
384,6076,blur,17429271,,46.34
385,7292,blur,17429268,,46.34
386,6403,blur,17429267,,46.34
387,753,blur,17429263,,46.35
388,7961,blur,17429192,,46.33
389,6170,blur,17429189,,46.35
390,1681,blur,17429082,,46.37
391,7452,blur,17429081,,46.37
392,7167,blur,17429061,,46.38
393,4719,blur,17429038,,46.4
394,6408,blur,17428975,,46.4
395,5282,blur,17428974,,46.4
396,428,blur,17428970,,46.4
397,5101,blur,17428970,,46.4
398,759,blur,17428968,,46.43
399,9816,blur,17428966,,46.43
400,9163,blur,17428965,,46.43
401,5282,blur,17428294,,46.42
402,9163,blur,17428292,,46.42
403,7292,blur,17428279,,46.44
404,7167,blur,17428278,,46.44
405,2578,blur,17428237,,46.44
406,6403,blur,17428003,,46.51
407,3883,blur,17427997,,46.55
408,7380,blur,17427993,,46.64
409,560,blur,17427991,,46.65
410,4205,blur,17427989,,46.65
411,5775,blur,17427988,,46.65
412,9314,blur,17427985,,46.65
413,6891,blur,17427985,,46.66
414,9163,blur,17427984,,46.66
415,6117,blur,17427983,,46.66
416,759,blur,17427981,,46.66
417,7116,blur,17427976,,46.67
418,8152,blur,17427848,,46.65
419,7167,blur,17427798,,46.66
420,8710,blur,17427796,,46.67
421,6408,blur,17427795,,46.67
422,4719,blur,17427795,,46.67
423,5497,blur,17427748,,46.7
424,3084,blur,17427747,,46.7
425,669,blur,17427742,,46.71
426,8936,blur,17427614,,46.7
427,7083,blur,17427531,,46.73
428,1392,blur,17427522,,46.72
429,2578,blur,17427521,,46.75
430,3599,blur,17427521,,46.75
431,428,blur,17427520,,46.75
432,5101,blur,17427520,,46.75
433,5282,blur,17427520,,46.75
434,6117,blur,17427519,,46.75
435,6891,blur,17427519,,46.75
436,753,blur,17427519,,46.75
437,759,blur,17427518,,46.75
438,8152,blur,17427518,,46.75
439,8243,blur,17427518,,46.76
440,8803,blur,17427517,,46.76
441,9163,blur,17427517,,46.76
442,9816,blur,17427517,,46.76
443,4295,blur,17427447,,46.79
444,5673,blur,17427445,,46.76
445,3013,blur,17427444,,46.76
